Samples	meh	prkb	rbcl	rbcs	coxs	coxm	cutm	coxl	cutl	mct	abfd	acs	acss	acsb	nirk	nosz	norb	nirs	napa	nrfa	nira	narb	nasa	nr	hao	nit-6	nifk	nifd	nifh	pufm	peth	pete	petc	psba	psaa	apca	apcf	cpca	cpea	mpea	cpet	lhcb1	lhca1	sat	met3	apra	aprb	suox	sir	cysc	cysk	cysm	cysh	cysj	cysi	cysn	cysd
TSC176	24.304	135.4553	84.15549999999999	478.0628	779.9210099999999	2148.9719800000003	109.2607	386.5671	95.7155	72.4752	24.89501	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.2601	127.3225	56.5645	0.0	0.0	0.0	0.0	0.0	0.0	18.052	582.58702	501.34596	1335.0425099999998	822.6172	359.17477	0.0	0.0	0.0	13.1399	0.0	63.4361	0.0	0.0	1100.22167	5.17012	0.0	1235.5045900000002	0.0	169.25259999999997	1497.2115000000003	1352.2293100000004	352.5959	1196.8993300000002	507.2997	260.41130000000004	180.8279	592.19616
TSC184	0.0	343.85200000000003	121.6144	169.3992	43.7912	416.2295000000001	0.0	60.2838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.4607	0.0	0.0	0.0	0.0	58.3797	98.9198	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.7909	367.1853	226.5637	886.4399	451.9095	694.716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	378.72009	13.7973	0.0	1201.6987	0.0	155.811	1522.49483	844.1526	0.0	1260.4992000000002	464.7785	43.72617	11.9499	222.63753
TSC191	0.0	100.3421	1016.0967	1060.9941	183.8549	331.68674000000004	0.0	187.1526	11.1259	0.0	106.245	0.0	0.0	0.0	23.44063	22.6795	21.1466	0.0	21.4539	17.0039	35.2051	326.6411	0.0	0.0	0.0	0.0	11.7878	0.0	30.1156	85.7801	114.8154	129.98698000000002	522.3828	312.1044	1734.6458800000005	0.0	405.716	0.0	382.658	144.687	0.0	0.0	278.3968	149.2386	50.2737	34.6873	794.4128	0.0	446.7942000000001	519.3455	467.92746	88.429	244.16635	463.729	100.5198	231.81089000000003	709.4283700000001
TSC199	92.3977	944.5948	675.8511	393.2264	266.54848	733.8722499999999	0.0	110.66598	88.0827	106.7632	0.0	0.0	0.0	0.0	53.2882	28.7379	28.7955	0.0	80.9603	0.0	121.1292	3225.1468000000004	0.0	0.0	0.0	0.0	0.0	0.0	32.5077	0.0	211.962	1539.1844	1195.13698	1794.5279999999998	1055.3097	0.0	353.358	767.6	102.39	0.0	23.2128	0.0	131.0047	2466.7072300000004	22.35832	62.7049	1329.3992999999998	16.1211	2806.9021999999995	2983.724989999999	1141.0266800000002	440.297	2505.5916	2317.7762999999995	205.2625	199.45606	881.563
TSC207	49.7358	271.6176	199.4836	263.4702	273.12248	697.3434	0.0	173.89811999999998	24.315	40.4447	151.863	0.0	0.0	0.0	150.237	0.0	0.0	0.0	0.0	0.0	217.89315	456.4531	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.1033	173.89068	128.8412	1150.5261000000005	319.698	437.0681	229.1096	127.177	125.907	122.945	0.0	80.0307	0.0	0.0	780.0482800000001	0.0	0.0	1757.0969000000002	0.0	413.487	1504.09561	521.59333	64.7003	603.5096800000001	1407.34247	85.57212	180.0672	466.0056400000001
TSC209	0.0	194.2739	171.27775999999997	55.2489	362.60067	335.10008000000005	0.0	213.3603	0.0	19.9667	26.7056	8.68045	0.0	0.0	63.2148	0.0	0.0	0.0	0.0	63.6583	133.71212	374.6687	144.77904	0.0	0.0	0.0	0.0	11.0991	11.269	0.0	144.0621	143.291	492.4747	1049.0776	138.8907	0.0	0.0	48.5267	0.0	0.0	17.4476	0.0	0.0	835.0456300000001	21.9317	11.4569	900.0616	0.0	268.6219	845.8523999999998	902.1518999999998	157.7198	1120.9857900000002	746.6196999999999	202.6465	165.3299	466.23377
TSC210	48.2682	0.0	312.04810000000003	915.9161	370.6482	222.3603	0.0	127.7238	0.0	0.0	38.6946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.6983	0.0	95.6387	341.077	0.0	0.0	0.0	0.0	0.0	0.0	16.30474	100.1528	671.5465	352.0466	1069.8200000000002	1228.0438	461.6775	0.0	0.0	0.0	0.0	0.0	22.0557	0.0	0.0	1306.636	37.0756	0.0	960.8511	0.0	383.7761	1269.6376699999998	615.5679000000001	77.1983	2044.51323	541.98616	21.2407	75.6862	463.79052
TSC211	0.0	0.0	330.7889	922.9377	1048.01578	1945.2315000000003	0.0	665.3399999999999	219.806	0.0	60.4824	0.0	0.0	0.0	0.0	0.0	34.7854	0.0	0.0	0.0	406.662	256.402	39.3785	0.0	0.0	0.0	21.0734	0.0	0.0	28.0222	41.4175	673.3212000000001	779.7648399999999	7905.7743	482.3585	0.0	0.0	0.0	37.5109	0.0	0.0	0.0	0.0	1352.63944	0.0	0.0	1815.1275000000005	0.0	1374.7608799999998	1126.1167199999998	1148.0489	275.4015	988.11122	721.7350199999998	101.9251	58.1345	364.469
TSC213	0.0	0.0	10.3331	0.0	329.1224	505.4859	0.0	219.0777	0.0	0.0	435.8118	17.7704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.9898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.5656	344.627	0.0	282.44780000000003	0.0	1180.3168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.8185	0.0	0.0	824.9386000000001	14.6415	70.9568	547.2888200000001	646.8020700000001	39.7855	257.69116	143.2661	81.41499999999999	108.6549	238.8092
TSC214	0.0	42.5778	28.7864	154.4793	208.88690000000005	396.5932	0.0	78.8572	46.9566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	271.1627	228.5302	39.438	0.0	0.0	0.0	0.0	0.0	0.0	12.2629	117.4851	204.8136	1271.5157	692.9962	434.7822000000001	0.0	163.8201	22.1969	32.1078	76.828	186.8486	0.0	13.5316	293.52595	15.2997	0.0	495.37750000000005	0.0	10.1331	551.0113600000001	937.20551	135.4141	340.2389	230.42812	174.77232999999998	49.365	214.78245
