TFM	GS1	GS10	GS2	GS3	GS4	GS5	GS6	GS7	GS8	GS9	SS1	SS10	SS2	SS3	SS4	SS5	SS6	SS7	SS8	SS9	WS1	WS10	WS2	WS3	WS4	WS5	WS6	WS7	WS8	WS9
LexA	59953.35870000005	323049.97039999923	326374.4698999995	275749.6994999997	314337.09779999993	157707.59459999998	297943.71040000045	238746.6359999999	199420.15560000023	275040.93110000005	836691.5768099985	271572.4109999999	329413.4510000002	472643.0394900001	405205.72144999943	554160.2749699992	548487.0798700012	584678.3881900003	410264.08500000054	872987.8288600005	3646401.7949000197	3121376.892560014	3631300.7012999854	4028365.3373600175	3145766.6438000216	3144632.564340001	2630513.1044999943	2952350.9628700144	3545789.6878899923	2562180.489190007
LiuQ	2987.1385	15872.700899999998	15985.703200000002	13834.040100000002	15261.617999999999	10389.222999999998	15804.4185	13767.833300000004	9899.039200000001	17471.5007	42849.10800000001	12604.272	16522.326800000003	24673.11839999999	21001.6825	33434.7021	30627.0277	33356.1802	25222.44948000001	44561.81599999997	333852.4014700001	364938.0248999994	331154.1187999998	405644.4534600009	293189.6575699993	335020.8037999998	248559.74790000002	291617.43229999987	332993.6937200003	262032.4563
LiuR	14787.2501	86499.04139999996	93492.21829999996	61748.8566	77469.86599999997	43310.41810000001	78776.76670000004	72531.57739999995	47712.60790000003	73192.40969999995	336532.27719999955	118406.65369999985	140591.48531000005	174973.97820000016	161244.0159599999	205163.66109999994	202290.68209	221399.0819999999	172013.0905800002	340361.29777999927	1299796.9366000025	1066237.3202999989	1265102.2972999935	1325572.7959199985	1184593.6967199994	1092141.5041000037	864911.7668999988	933817.0850300016	1203740.2415099961	858969.4074399996
LldR	21954.39019999999	117090.75990000005	107453.98630000009	89753.09070000003	105160.41309999998	61971.89719999993	105336.59380000008	92741.86069999986	66193.4188	105959.65529999995	266424.7072999994	82610.83540999999	104222.39831999998	156207.91529999996	140004.86599999995	200221.87188999986	183069.1189999999	198474.52279999983	139977.87319999989	255421.30470000036	2088717.4557300063	1936518.3042000057	1882288.3639600065	2251316.0572499973	1757363.0581999938	1986302.841510012	1614341.865500002	1760076.1917299987	1857703.1844099965	1639584.1209499983
LtbR	11788.878100000004	61729.92250000002	65539.99869999995	53303.1903	59869.74479999998	32539.265199999994	51110.1601	44212.9237	40729.29719999999	54327.84350000001	132568.7179999999	41759.625499999995	54856.567799999975	76002.30120000006	68572.57415999993	93381.96540000002	91156.18180000005	94978.9762000001	72329.45539999998	129201.70110000002	676787.7087999971	611738.0403999996	657461.1792999994	771873.2477999975	562220.4945000017	616035.4762000008	483351.4764000004	536324.0964000004	696911.3987199996	478521.51740000036
MerR	7528.9151999999995	52320.08119999999	56110.461399999986	41141.9254	48006.75219999998	23006.186899999993	42845.56599999999	36096.736799999984	30298.36999999999	42040.68809999997	162210.56981999983	49188.51999999998	61961.746710000036	84701.22859999993	80934.12874999997	105541.42440000009	102117.68031000008	114132.40520000001	81584.83667000008	168309.24049999993	649244.5146600022	457092.95129999955	661625.8163400011	616661.1580000004	586829.2738000004	491366.71648999915	368487.04889999976	419042.71089999983	565615.6824500012	372336.1931
MetJ	3754.6719000000007	25316.943700000003	22555.268199999995	20465.988200000014	21501.541500000007	12431.721899999999	26791.179500000002	19114.452399999995	12784.764400000004	20683.769900000007	52052.77639999997	16953.6841	21207.688800000004	28016.132029999982	27730.869799999997	35930.20710000001	33117.41380000001	36598.279000000024	27553.335699999996	49179.2205	253739.11592999977	240743.76750000054	261608.60416999971	310905.8770000001	234243.6705999999	230295.88670000003	185465.41280000002	214915.41209000014	287008.9722100002	194317.33582000015
MetR	39291.704900000004	204234.02149999994	196832.53480000008	171689.08320000008	197051.16949999979	95781.82729999996	198126.17499999993	148946.3848000001	133135.46749999994	180659.67660000012	176394.43490000008	53149.90929999997	66473.38609999996	113160.13120000005	99394.51209999999	157993.04173000003	140910.5048000003	151500.47119999997	93046.51959000014	169896.6945999999	1916496.412880011	2263212.135500005	1917584.3074400101	2622407.793820006	1588761.5893999983	2056183.871960005	1670996.5122499838	1971967.2222799957	2121517.3417899786	1765345.3420600032
MntR	46298.5941	244003.3324999998	240753.4422999994	198870.13429999974	238242.9593999994	115029.14929999996	254772.06310000003	181882.61000000016	163634.2822000002	214860.63619999992	224258.3321000004	77536.27070000002	93800.23370000006	153124.3711000001	146430.90159	209158.39419999986	185337.8421599997	205718.77110000033	137645.22350000005	220381.50810000036	2328789.051640001	2775954.5981499874	2285274.57519001	3277861.510710004	1960265.3009999937	2600123.4453399987	2129296.9520699987	2483964.6715700002	2453833.700009995	2220511.72
ModE	76786.17300000002	390901.01970000024	379562.56909999985	321365.29090000014	386586.0964999993	194259.87850000008	393422.75329999987	294431.9293999997	247381.6322	335985.1026	343265.0188000004	103012.16760000004	150664.32240000012	224820.87900000007	217158.4849199998	299229.5305999999	274790.4091000002	301231.1397400001	191089.2031899998	345816.97405000054	2629025.9157399847	2870461.907170003	2541015.9832599857	3328203.1262099976	2181067.045100002	2729302.357649998	2131447.397899995	2516777.440560012	2915050.868889999	2330818.9355699997
NadQ	21145.1571	97581.88359999996	87046.57340000004	72133.47040000011	96400.46939999991	51056.92299999998	94366.5148000001	70198.97909999994	58880.90889999999	86487.25490000001	95316.73660000015	25983.528299999987	40587.84610000001	60457.23920000002	60671.58735999993	79513.7916	79285.49410000003	83411.4111	58402.789899999996	90171.65660000002	823245.1054999975	967362.4690699984	849350.6704999985	1079026.2017	711872.3562999992	888692.1570000035	676449.9082000018	805647.3923600011	878384.9052700019	754560.8591000023
NagC	60276.45950000005	280148.93989999976	313153.7689000002	264724.7483999997	303590.6484999996	146036.57809999984	328809.57889999973	236233.91660000017	235545.42820000017	266447.7624999997	59130.68290000002	19085.343300000004	32183.86959999999	51490.41129999998	57196.943099999975	79681.26	61830.15119999996	72501.0745999999	44088.584599999966	60640.098850000046	1714695.5063900072	2327828.7969700038	1651163.1884899999	2960467.0166999837	1213086.1669000064	2244113.4075700073	1910655.128599997	2369212.986770001	2189229.822609977	1927177.0350399963
NagQ	24360.8291	118333.67070000003	117817.91380000005	101152.03780000006	113871.08180000003	58975.42850000002	109155.05140000011	85076.70699999992	73255.07410000006	99491.3613000001	125340.74669999993	36883.92529999998	50604.71480000003	83070.64050000008	77455.00070000003	109051.21270000015	95747.07620000005	103116.75749999999	69533.87159	119737.25730000019	1221316.1696000078	1223552.2101600019	1166090.3759700013	1454391.620280002	1032022.5236	1247954.3677899987	971920.2019000009	1121629.989729998	1174215.5624499985	1041758.8505699973
NagR	18263.9921	111350.93030000008	100078.3154	79875.77860000002	100862.86739999993	51982.32580000001	99865.80949999994	75063.33329999991	64079.35369999998	93049.75090000014	194214.2399999999	59918.66836000005	74801.23618999992	113137.07319000002	104270.13604000014	153651.84030000019	142552.3144	154345.53529999993	101125.82767000004	203791.71707999994	1175749.001129999	1005255.2041999991	1121133.010099994	1313672.114270001	1038073.2444999994	1035354.2248499977	844224.7221000018	930175.4828299975	1124792.99952	873678.4888000016
NarP	8178.0034	34543.79290000001	35267.50980000001	30940.985600000007	33141.6213	16934.879999999994	33015.31810000001	29126.400900000004	24172.816100000015	34869.22230000001	21830.2823	6321.283500000001	10477.652299999996	15244.0105	17131.916300000008	22696.423799999997	18336.753299999997	19374.17039999999	14528.814400000005	19467.607200000002	271754.70329999994	298244.823	241023.34730000002	305482.8849500004	231963.61019999985	271948.0887999998	199308.5999999999	241655.0247899999	243843.98130000016	245837.20660000044
