	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2
GlcC	-0.35177865612648224	0.2354601919819311	0.25804630152456237	-0.35629587803500845	-0.2422360248447205	0.35742518351214003	-0.5913312693498453	0.16842105263157894	0.2586466165413534	0.4543629581695988	0.11228070175438597	0.14963297571993225	-0.12704686617730096	-0.24411764705882352	0.12352941176470589	-0.38571428571428573	-0.7380952380952381	0.33383458646616543	0.2696078431372549	0.4208135644310167	-0.45054945054945056	0.47817364390428296	0.06766917293233082	-0.09411764705882353	-0.36307171089779783	0.4048560135516657	0.0942970073404856	0.1288043703046294
GntR	-0.14624505928853754	-0.12140033879164314	-0.01637492941840768	-0.045736871823828344	-0.2941840767927724	-0.21174477696216826	-0.5913312693498453	-0.03333333333333333	0.02857142857142857	-0.06639093452706467	0.12631578947368421	0.13495200451722192	0.033314511575381144	-0.061764705882352944	-0.18529411764705883	-0.16785714285714284	-0.47619047619047616	0.2932330827067669	-0.18627450980392157	0.2816263885604795	-0.2175824175824176	0.24236198389669136	-0.48872180451127817	0.08823529411764706	0.30434782608695654	-0.007340485601355167	-0.25691699604743085	0.13681886445691743
GulR	-0.2795031055900621	-0.23207227555053642	0.018633540372670808	-0.06493506493506493	-0.25804630152456237	-0.3608130999435347	-0.11661506707946337	0.23859649122807017	-0.04962406015037594	-0.04149433407941541	0.42105263157894735	0.24336533032185206	-0.24336533032185206	-0.07058823529411765	0.011764705882352941	-0.007142857142857143	-0.3333333333333333	0.37293233082706767	-0.28921568627450983	0.12032536231798778	-0.15164835164835164	0.2495673401747011	-0.3609022556390977	0.17352941176470588	0.3382269904009034	-0.35629587803500845	-0.04686617730095991	0.3566449897768183
HcpR	-0.4827780914737436	-0.006211180124223602	0.5223037831733484	-0.4827780914737436	-0.21513269339356295	0.010728402032749858	-0.2776057791537668	0.36140350877192984	0.18195488721804512	0.10269847684655316	0.34035087719298246	0.43873517786561267	-0.33483907396950874	-0.12352941176470589	0.21764705882352942	-0.5107142857142857	-0.5238095238095238	0.6090225563909775	0.029411764705882353	0.1866669134338513	-0.14285714285714285	0.40808517829091545	-0.21804511278195488	-0.15588235294117647	0.017504234895539244	-0.04121964991530209	-0.1383399209486166	0.19063046805085151
HexR	0.11236589497459062	0.10333145115753811	-0.2388481084133258	0.21513269339356295	-0.4613212874082439	0.07735742518351214	-0.2961816305469556	-0.16842105263157894	-0.14135338345864662	-0.011410941871839239	-0.15789473684210525	-0.16205533596837945	0.09203839638622248	-0.08235294117647059	-0.25882352941176473	0.010714285714285714	-0.21428571428571427	-0.15338345864661654	-0.041666666666666664	0.052032589110481205	-0.6615384615384615	0.15262254661602456	0.05112781954887218	0.19411764705882353	-0.16883116883116883	0.1857707509881423	0.16883116883116883	0.042362326233522554
HisR	-0.025409373235460192	-0.04121964991530209	-0.05251270468661773	0.03557312252964427	-0.37775268210050816	0.233201581027668	-0.38080495356037153	0.156140350877193	0.12781954887218044	0.1286324356461878	-0.13333333333333333	0.10107284020327499	-0.13608130999435347	0.20588235294117646	-0.029411764705882353	-0.225	-0.30952380952380953	0.03759398496240601	0.029411764705882353	0.02471547982747857	-0.4901098901098901	-0.0196509716672993	0.20902255639097744	0.1588235294117647	-0.3675889328063241	0.32128740824393	0.19480519480519481	0.23471018588843579
HrcA	0.15866741953698477	0.13495200451722192	-0.21739130434782608	0.12478825522303783	-0.4184076792772445	-0.04686617730095991	-0.27966976264189886	-0.04912280701754386	-0.18796992481203006	-0.05809206771118158	0.04736842105263158	-0.1281761716544325	0.07622811970638058	-0.38235294117647056	-0.3382352941176471	0.35	-0.7619047619047619	-0.06015037593984962	-0.23039215686274508	0.045528515471671055	-0.42417582417582417	0.14214202839346493	-0.02556390977443609	0.17647058823529413	0.07396950875211744	0.07284020327498589	0.005081874647092038	0.2524565657970736
HutC	-0.22190852625635235	0.0942970073404856	0.3020892151326934	-0.3461321287408244	-0.3450028232636928	-0.053642010163749296	-0.6326109391124871	0.056140350877192984	-0.06766917293233082	0.020747167039707706	0.04912280701754386	0.055900621118012424	-0.000564652738565782	-0.1411764705882353	-0.058823529411764705	-0.11428571428571428	-0.19047619047619047	0.06315789473684211	0.17892156862745098	0.2874800548354086	-0.1912087912087912	0.196509716672993	-0.21954887218045113	-0.01764705882352941	0.16092603049124787	-0.05928853754940711	0.3201581027667984	0.11678262907619731
HypR	0.32580463015245625	0.20496894409937888	0.1417278373800113	0.07509881422924901	-0.17786561264822134	0.25014116318464147	0.021671826625386997	-0.26842105263157895	-0.34285714285714286	-0.23133091249274093	-0.5526315789473685	-0.024280067758328628	0.1281761716544325	-0.06764705882352941	-0.17941176470588235	-0.22142857142857142	-0.38095238095238093	-0.2992481203007519	0.3112745098039216	-0.1990246533475906	-0.45494505494505494	0.0897394372806668	0.43609022556390975	0.22058823529411764	-0.30886504799548276	0.2930547713156409	-0.43873517786561267	0.16028988304576103
Irr	-0.6047430830039525	0.006211180124223602	0.4827780914737436	-0.52343308865048	-0.12140033879164314	0.3337097684923772	-0.21775025799793601	0.519298245614035	0.5157894736842106	0.4408772995937888	0.2719298245614035	0.4805194805194805	-0.4839073969508752	0.3735294117647059	0.3176470588235294	-0.175	0.2857142857142857	0.3172932330827068	0.20588235294117646	0.20227669016699568	-0.23076923076923078	-0.028821425112038973	0.162406015037594	0.09117647058823529	-0.3190287972896669	0.20609824957651043	0.11688311688311688	0.3600797729849417
