	Latitude	Longitude	Temperature	Oxygen	ChlorophyllA	Salinity	Carbon.total	NO2	NO2NO3	NO3	PO4	Ammonium.5m	Iron.5m	Alkalinity.total	CO3	HCO3	Lyapunov	Si	Nitracline	Brunt.Väisälä	Okubo.Weiss	Residence.time	PAR.PC	Gradient.Surface.temp(SST)	Fluorescence	Density	Depth.Min.O2	Depth.Max.O2	Mean Flux at 150m	FluxAttenuation	NPP 8d VGPM (mgC/m2/day)
GulR	0.07378405439481837	0.04036214960557459	-0.2276212920360603	0.25077252334737227	0.140126610215461	-0.21715732116360553	0.14385267029398802	-0.07153188255485923	0.04834545799182319	0.05856034365240596	0.14622367588864255	-0.06859606891615197	0.016078489594707573	0.1004888495029637	-0.08145129828120154	-0.08502024291497975	-0.03775684873269989	0.05057337019907282	-0.08882274458387288	-0.2338667715710509	-0.11397417579435547	-0.010067474506191946	-0.19014778325123152	0.051152466610315285	0.21387069040219703	0.05091766050132115	-0.2031496784472511	0.01726562933969358	-0.17208359217769162	0.07334543348526462	-0.23601808424165402
HcpR	-0.32876012015152944	-0.12557528843921587	0.2891931320839412	-0.31051432887749497	-0.22368386598836074	0.16939113954039328	-0.3174846313776097	0.015283258551355473	-0.05996446288445919	-0.06063779696022612	-0.009456264776011013	0.2423719455207167	-0.15419588252855276	0.12917465323773045	0.014131518488383024	-0.2874493927125506	-0.28172040988968716	-0.026581018695774034	0.028183400841129934	0.18673838608894952	-0.07607774453760577	0.07908336098369788	-0.052216748768472904	-0.10420970975506874	-0.15434954866432218	-0.12449373093520776	0.07598370226542535	0.1982218747476989	-0.13610098572179236	-0.12912426292765986	-0.14982281040705595
HexR	-0.04018758362025546	0.20834949107796977	-0.05975386226760932	0.08121795458707197	0.0764324697720887	-0.1944637713687203	0.02855620237464769	0.014636294370657579	0.10557519952858258	-0.0089143180872447	0.012258676048774973	-0.005793443668141103	0.0036536353740106394	0.0921537769010187	-0.07980406606476426	-0.04913010176168071	-0.07304977259444866	0.1082718064946284	-0.12958213683696454	-0.1223602907804341	0.1360133613842844	-0.1938281192546406	0.19014778325123152	0.03989277951561225	0.010343479082456619	-0.02888156619499903	-0.06144848583567837	-0.0556096784741658	-0.2270889251084849	0.07499837962213979	-0.0944022859877524
HisR	-0.2923107424168938	0.11494671373307072	0.14221873090686915	-0.09023644936824757	-0.32535109583822575	0.16784997319168568	-0.24951586088767727	-0.24245914164583882	-0.1970601746133525	-0.12303802357093901	-0.09286171899295124	-0.006691265330014024	0.07772891037664818	0.005147761075859815	-0.061041513143327286	-0.19925593609804135	-0.033388981916013805	-0.1661660841871388	0.03329617289551263	0.10626376489784722	-0.07028039534704117	-0.005384557378443739	0.12167487684729064	0.03699874807135297	-0.2065444255522327	-0.01772579345242346	0.10592109783716604	0.27932220445030564	-0.08758893095926233	0.03098463738926778	-0.013748446131471016
HrcA	-0.11321601667862101	0.2208135024297561	-0.057768800109727056	0.09823635780992493	-0.04255170582143462	-0.06661679073305153	0.10959454621328688	-0.029885680451819444	-0.059220248351035676	-0.0579388104906401	0.01673579031475483	-0.09529878150968911	0.05670741374351803	0.04975747437944106	0.03660034389680388	0.27694496115548745	0.0442596504517726	-0.0005376736534577199	-0.16611292062402538	0.007370233492839534	-0.004077373970022402	-0.15474091028881037	0.07586206896551724	0.047683929985507724	-0.00625119919625104	-0.00867161118535824	0.07253874152105225	0.07825010312658322	-0.027203788138157083	-0.18843585960376869	0.11418075235232474
HutC	-0.23165405011807447	0.2003269371526603	0.10656741355877256	-0.0658933803332723	-0.2279333008309866	0.038741131435554056	-0.04776451472047434	-0.08941993406410309	-0.08310276928726298	-0.14151373536589698	-0.06771494832076982	-0.049968763381349604	0.04211282383996154	0.06365769409042371	-0.0984437990402388	-0.21566911040595252	0.01184363886832188	0.06280455562706797	0.12592466509881323	0.1910388012128048	0.1633976459515091	-0.05253531377082793	0.18620689655172415	-0.07211729737000247	-0.2405393490163814	-0.08804745921792269	0.13641357844579075	0.1982247566754805	-0.2015494790278971	-0.1383289041604549	-0.16582864872835462
HypR	-0.19772091637182462	0.00115961690247712	0.22635943091559746	-0.16110831349569676	-0.28162481031557235	0.06904076110674696	-0.23002798547556813	-0.21164535551071453	-0.1831337485835948	-0.20184502282169065	-0.12049244511144619	-0.07174842052895022	-0.11257436665356058	-0.12048543491066485	-0.32400624215159174	-0.22748659590764853	-0.20994459845010527	-0.09798479202549362	0.17103348320267941	0.0932690902715731	0.04173521653158302	0.05932580937888506	0.29458128078817736	-0.06138603215259518	-0.20411307816100105	-0.1141388069903388	0.007353446107175145	0.15851179184473813	-0.262215919098169	0.09833408978978916	-0.20277566500789032
Irr	-0.439098291872175	-0.09720332822527565	0.45012780707988875	-0.40422427211133494	-0.4007311820988191	0.18848863452162745	-0.4292690882767761	-0.14828012551953396	-0.16549693239198396	-0.10626514235616151	-0.08576577387180828	0.19015114613750253	-0.1359376814547426	-0.024410758910096912	-0.009023653676886706	-0.2817594922858081	-0.02317629331738401	-0.008114955339272475	0.08276540024876641	0.2864514255281121	0.10066306321798539	0.03497570340588332	0.17783251231527095	-0.2374488283390185	-0.3632462295842164	-0.2706868936248355	0.2756540848113827	0.22075278614441468	-0.023886824741733793	0.16373889967633978	-0.20166861513945428
IscR	-0.13403176352803287	0.26972938531596835	-0.06577887504831731	0.134911188427028	-0.14418402247423578	-0.045599072307634755	-0.0594537454294113	-0.27406893083051287	-0.1822292964712045	-0.197630517135744	-0.14051395024734273	-0.18146970945700353	0.12156006511947207	-0.03010238663524904	-0.20477697343288773	-0.001203632782580151	0.03145704082401804	-0.12086974944782981	0.003179693898482898	0.03526553954143538	-0.009963748793120246	-0.06156627427031057	0.14729064039408868	0.04773001328876026	-0.08944721998946838	0.057120412972730336	0.033974637772995205	0.20662269423112514	-0.264419414216641	-0.0009074998398530312	-0.16368876462512072
KdgR	-0.3424959693963552	0.07237256371352364	0.06509058716442849	-0.015244460721479582	-0.1748951668914524	-0.006830509108592377	-0.1919782873084106	-0.08150393777985714	0.025210712424107547	0.0605441412783162	0.050065002457145465	0.05192900734310548	-0.1297152785481511	0.03952519253577868	-0.2006950164053129	-0.00886311412627202	-0.08065154080425808	-0.054440347600762114	0.10161840396809593	0.168714548152096	0.00865685250753228	-0.08839072521830299	0.1724137931034483	-0.0016436378160071278	-0.12773068873164498	-0.02254108813417533	0.17944983638276404	0.12750801277005552	-0.22310388074529083	-0.07253516577111013	-0.10790953130989936
